path,width,height,format_or_mode,alpha,purpose
09_modes/feature_cards/card_hidden.png,512,700,RGBA,yes,card hidden
09_modes/feature_cards/card_maxzero.png,512,700,RGBA,yes,card maxzero
09_modes/feature_cards/card_super.png,512,700,RGBA,yes,card super
09_modes/hidden/secret_shift_locked_indicator.png,820,320,RGBA,yes,secret shift locked indicator
09_modes/maxzero/max_win_or_zero_meter.png,1100,420,RGBA,yes,max win or zero meter
10_wins/banners/banner_big.png,768,430,RGBA,yes,banner big
10_wins/banners/banner_epic.png,768,430,RGBA,yes,banner epic
10_wins/banners/banner_max.png,768,430,RGBA,yes,banner max
10_wins/banners/banner_mega.png,768,430,RGBA,yes,banner mega
10_wins/banners/banner_nice.png,768,430,RGBA,yes,banner nice
10_wins/banners/banner_total.png,768,430,RGBA,yes,banner total
11_vfx/bonus_ghost/bonus_ghost_sheet.png,4096,2048,RGBA,yes,bonus ghost sheet
11_vfx/bonus_ghost/frames/frame_00.png,1024,1024,RGBA,yes,frame 00
11_vfx/bonus_ghost/frames/frame_01.png,1024,1024,RGBA,yes,frame 01
11_vfx/bonus_ghost/frames/frame_02.png,1024,1024,RGBA,yes,frame 02
11_vfx/bonus_ghost/frames/frame_03.png,1024,1024,RGBA,yes,frame 03
11_vfx/bonus_ghost/frames/frame_04.png,1024,1024,RGBA,yes,frame 04
11_vfx/bonus_ghost/frames/frame_05.png,1024,1024,RGBA,yes,frame 05
11_vfx/bonus_ghost/frames/frame_06.png,1024,1024,RGBA,yes,frame 06
11_vfx/bonus_ghost/frames/frame_07.png,1024,1024,RGBA,yes,frame 07
11_vfx/maxzero_collision/frames/frame_00.png,1024,1024,RGBA,yes,frame 00
11_vfx/maxzero_collision/frames/frame_01.png,1024,1024,RGBA,yes,frame 01
11_vfx/maxzero_collision/frames/frame_02.png,1024,1024,RGBA,yes,frame 02
11_vfx/maxzero_collision/frames/frame_03.png,1024,1024,RGBA,yes,frame 03
11_vfx/maxzero_collision/frames/frame_04.png,1024,1024,RGBA,yes,frame 04
11_vfx/maxzero_collision/frames/frame_05.png,1024,1024,RGBA,yes,frame 05
11_vfx/maxzero_collision/frames/frame_06.png,1024,1024,RGBA,yes,frame 06
